Filepath,setBpm,Fail Reason
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a\,174,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a07\,110,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a08\,138,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a09\,121,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a0b\,138,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a0c\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a0e\,120,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a11\,132,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a1b\,146,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a1f\,190,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a2\,200,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a21\,140,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a24\,140,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a27\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a28\,135,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a2e\,174,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a30\,131,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a34\,0,No BPM in FileZ:\BS Files\BeastSaber\BeastSaber Pt 1\10a34\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a3a\,120,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a3d\,0,No BPM in FileZ:\BS Files\BeastSaber\BeastSaber Pt 1\10a3d\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a4\,87,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a44\,0,No BPM in FileZ:\BS Files\BeastSaber\BeastSaber Pt 1\10a45\,110,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a46\,0,No BPM in FileZ:\BS Files\BeastSaber\BeastSaber Pt 1\10a47\,98,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a48\,125,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a5\,175,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a53\,128,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a54\,170,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a59\,175,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a5e\,85,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a60\,168,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a69\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a6a\,165,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a6b\,125,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a6c\,260,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a7\,190,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a78\,145,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a7b\,183,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a8\,112,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a9\,180,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a93\,350,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10a9c\,163,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10aa\,234,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10aa4\,90,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10ab\,98,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10ab3\,208,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10ab6\,116,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10ab8\,140,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10ab9\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 1\10aba\,0,No BPM in FileZ:\BS Files\BeastSaber\BeastSaber Pt 1\10abb\,0,File Reading Error
