Filepath,setBpm,Fail Reason
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1014b\,216,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1014c\,160,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1014d\,128,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1015\,136,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1017d\,89,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1018f\,102,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1019d\,115,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101a0\,130,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101a1\,173,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101a2\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101a2\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101b\,115,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101b0\,84,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101b1\,128,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101b2\,78,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101b3\,140,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101b4\,81,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101b5\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101b8\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101ba\,260,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101bb\,145,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101bc\,172,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101bd\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101bd\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101bf\,96,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101c\,95,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101c6\,225,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101d1\,84,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101d2\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101d2\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101dc\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101de\,144,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101e1\,153,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101ec\,143,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101ee\,163,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\101f0\,120,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102\,81,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1020a\,0,File Reading Error
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1020a\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1020a\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1020c\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1020c\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1020f\,180,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1021a\,105,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1021b\,145,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1021c\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1021d\,140,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1021e\,105,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1021f\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1022c\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1022e\,169,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1023\,110,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1024\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1025\,190,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1025b\,125,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1025c\,94,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1026\,204,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1027\,120,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1027a\,256,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1028\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1028e\,128,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1028f\,256,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102a7\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102a7\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102a8\,140,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102a9\,117,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102b8\,155,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102bb\,143,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102bc\,180,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102bd\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102c\,180,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102c0\,116,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102c4\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102c7\,230,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102c9\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102cc\,150,In Range
